,distances,group 1
0,0.0,0.0036260794696257362
1,1.0,0.0018103730052270706
2,2.0,0.0011309437455142221
3,3.0,0.0015405789601614557
4,4.0,0.0011589980255934194
5,5.0,0.0012746144794988322
6,6.0,0.0013014766971239898
7,7.0,0.0014303376280954325
8,8.0,0.001537333523366114
9,9.0,0.0016407145445117247
10,10.0,0.001878235326690051
11,11.0,0.0019074274652422286
12,12.0,0.0022451952156377847
13,13.0,0.0017833785724010547
14,14.0,0.0018041922634338986
15,15.0,0.0019398548374874307
16,16.0,0.002502815896816026
17,17.0,0.002875582626369939
18,18.0,0.0024378744259559272
19,19.0,0.002790009207237018
20,20.0,0.003240932338233267
21,21.0,0.0035015438037781874
22,22.0,0.003885623223026106
23,23.0,0.004388646582922579
24,24.0,0.005981249673846143
25,25.0,0.005898697010692957
26,26.0,0.006846829646346657
27,27.0,0.006781592710648627
28,28.0,0.008697385656967661
29,29.0,0.009620653757404025
30,30.0,0.010900688209879515
31,31.0,0.013761484415345764
32,32.0,0.020729029303416135
33,33.0,0.030629027422219148
34,34.0,0.04339532185633118
35,35.0,0.05088525346684943
36,36.0,0.07372064798627427
37,37.0,0.09718846479764963
38,38.0,0.11941424988651705
39,39.0,0.12532521463979382
40,40.0,0.12463481385662069
41,41.0,0.09356084806060813
42,42.0,0.05128948273778569
43,43.0,0.028770517880777387
44,44.0,0.013073956230604141
45,45.0,0.004802502480894957
46,46.0,0.0004593264485774803
47,47.0,0.0
48,48.0,0.0
49,49.0,0.0
50,50.0,0.0
51,51.0,0.0
52,52.0,0.0
53,53.0,0.0
54,54.0,0.0
55,55.0,0.0
56,56.0,0.0
